"","SITE_ID","YEAR","VISIT_NO","SAMPLED_SECCHI","DATE_SECCHI","SECMEAN","CLEAR_TO_BOTTOM","FLAG_SECCHI","COMMENT_SECCHI"
"129","NLA06608-0116",2007,1,"YES","6/28/2007",1.43,"","",""
"130","NLA06608-0120",2007,1,"YES","6/18/2007",0.18,"","",""
"131","NLA06608-0120",2007,2,"YES","9/26/2007",0.5,"","U","COMMENTS ON LAKE ASSESSMENT: made own secchi disk, -ATH: OK"
"132","NLA06608-0124",2007,1,"YES","7/19/2007",0.2,"","",""
"133","NLA06608-0126",2007,1,"YES","6/21/2007",0.17,"","",""
"134","NLA06608-0126",2007,2,"YES","8/28/2007",0.15,"","",""
"135","NLA06608-0127",2007,1,"YES","7/11/2007",2.2,"","",""
"136","NLA06608-0128",2007,1,"YES","6/21/2007",0.85,"","",""
"137","NLA06608-0128",2007,2,"YES","8/25/2007",0.34,"","",""
"138","NLA06608-0129",2007,1,"YES","7/21/2007",9.11,"","",""
"139","NLA06608-0129",2007,2,"YES","9/16/2007",5,"","",""
"140","NLA06608-0130",2007,1,"YES","8/13/2007",1.63,"","",""
"141","NLA06608-0132",2007,1,"YES","8/28/2007",1.35,"","",""
"142","NLA06608-0134",2007,1,"YES","7/24/2007",7.6,"","",""
"143","NLA06608-0137",2007,1,"YES","9/17/2007",9.9,"","",""
"144","NLA06608-0139",2007,1,"YES","7/11/2007",1.35,"","",""
"145","NLA06608-0140",2007,1,"YES","6/20/2007",0.53,"","",""
"146","NLA06608-0141",2007,1,"YES","8/23/2007",0.52,"","",""
"147","NLA06608-0142",2007,1,"YES","8/13/2007",4.7,"","",""
"148","NLA06608-0144",2007,1,"YES","8/2/2007",0.96,"","",""
"149","NLA06608-0144",2007,2,"YES","9/13/2007",0.5,"","",""
"150","NLA06608-0148",2007,1,"YES","7/26/2007",2.8,"","",""
"151","NLA06608-0149",2007,1,"YES","7/18/2007",2.3,"","","SLIGHT BREEZE BREAKING VISIBILITY"
"152","NLA06608-0150",2007,1,"YES","8/2/2007",1.97,"","","SCOPE MEASUREMENTS LOST"
"153","NLA06608-0152",2007,1,"YES","7/17/2007",1.2,"","",""
"154","NLA06608-0153",2007,1,"YES","8/30/2007",1.68,"","",""
"155","NLA06608-0155",2007,1,"YES","7/31/2007",0.87,"","",""
"156","NLA06608-0158",2007,1,"YES","9/5/2007",5.58,"","",""
"157","NLA06608-0161",2007,1,"YES","8/15/2007",0.65,"","",""
"158","NLA06608-0162",2007,1,"YES","8/28/2007",2.15,"","",""
"159","NLA06608-0167",2007,1,"YES","7/23/2007",0.1,"","",""
"160","NLA06608-0167",2007,2,"YES","8/29/2007",0.1,"","",""
"161","NLA06608-0168",2007,1,"YES","6/13/2007",0.4,"","",""
"162","NLA06608-0169",2007,1,"YES","7/5/2007",5.35,"","",""
"163","NLA06608-0169",2007,2,"YES","9/13/2007",1.65,"","",""
"164","NLA06608-0170",2007,1,"YES, CLEAR TO BOTTOM","9/21/2007",NA,"Y","",""
"165","NLA06608-0173",2007,1,"YES","7/11/2007",0.22,"","",""
"166","NLA06608-0174",2007,1,"YES","7/25/2007",1.7,"","",""
"167","NLA06608-0174",2007,2,"YES","8/28/2007",2.1,"","",""
"168","NLA06608-0175",2007,1,"YES","8/30/2007",0.91,"","",""
"169","NLA06608-0176",2007,1,"YES","9/7/2007",0.29,"","",""
"170","NLA06608-0177",2007,1,"YES","8/22/2007",2.75,"","",""
"171","NLA06608-0179",2007,1,"YES","6/4/2007",0.57,"","",""
"172","NLA06608-0179",2007,2,"YES","8/29/2007",0.4,"","",""
"173","NLA06608-0180",2007,1,"YES","8/29/2007",0.24,"","",""
"174","NLA06608-0181",2007,1,"YES","9/20/2007",7,"","",""
"175","NLA06608-0183",2007,1,"YES","7/25/2007",1.1,"","",""
"176","NLA06608-0184",2007,1,"YES","6/15/2007",0.35,"","",""
"177","NLA06608-0185",2007,1,"YES, CLEAR TO BOTTOM","8/14/2007",NA,"Y","","SECCHI TO BOTTOM 2.45M"
"178","NLA06608-0189",2007,1,"YES","6/11/2007",0.38,"","",""
"179","NLA06608-0189",2007,2,"YES","7/10/2007",0.58,"","",""
"180","NLA06608-0190",2007,1,"YES","8/14/2007",2.45,"","",""
"181","NLA06608-0191",2007,1,"YES","7/21/2007",6.9,"","",""
"182","NLA06608-0193",2007,1,"YES, CLEAR TO BOTTOM","7/11/2007",NA,"Y","",""
"183","NLA06608-0195",2007,1,"YES","6/12/2007",0.83,"","",""
"184","NLA06608-0196",2007,1,"YES","6/21/2007",0.83,"","",""
"185","NLA06608-0198",2007,1,"YES","7/24/2007",2.1,"","",""
"186","NLA06608-0201",2007,1,"YES","9/18/2007",7.75,"","",""
"187","NLA06608-0203",2007,1,"YES","8/2/2007",4.48,"","",""
"188","NLA06608-0204",2007,1,"YES","9/12/2007",0.4,"","",""
"189","NLA06608-0207",2007,1,"YES","7/18/2007",2.1,"","",""
"190","NLA06608-0207",2007,2,"YES","9/5/2007",1.7,"","",""
"191","NLA06608-0208",2007,1,"YES","9/6/2007",0.28,"","",""
"192","NLA06608-0209",2007,1,"YES","7/19/2007",7.1,"","",""
"193","NLA06608-0209",2007,2,"YES","9/27/2007",4.62,"","",""
"194","NLA06608-0211",2007,1,"YES, CLEAR TO BOTTOM","8/7/2007",NA,"Y","","VEGETATION DOES OBSCURE-ATH:Clear to Bottom Secchi numbers set to missing"
"195","NLA06608-0212",2007,1,"YES","7/12/2007",2.1,"","",""
"196","NLA06608-0215",2007,1,"YES","8/22/2007",0.68,"","",""
"197","NLA06608-0216",2007,1,"YES","7/6/2007",0.35,"","",""
"198","NLA06608-0217",2007,1,"YES","6/24/2007",1.13,"","",""
"199","NLA06608-0219",2007,1,"YES","8/1/2007",0.35,"","",""
"200","NLA06608-0220",2007,1,"YES","8/2/2007",0.1,"","",""
"201","NLA06608-0221",2007,1,"YES","6/28/2007",0.72,"","",""
"202","NLA06608-0222",2007,1,"YES","6/27/2007",0.48,"","",""
"203","NLA06608-0223",2007,1,"YES","6/27/2007",1.38,"","",""
"204","NLA06608-0223",2007,2,"YES","8/29/2007",0.65,"","",""
"205","NLA06608-0224",2007,1,"YES","7/19/2007",1.93,"","",""
"206","NLA06608-0224",2007,2,"YES","9/23/2007",2.86,"","",""
"207","NLA06608-0225",2007,1,"YES","7/11/2007",4.3,"","",""
